Rotation_X,Rotation_Y,Rotation_Z,current_time,Score,State
0,0.7071068,0,2025-01-24 14:24:44.905,0,0
0.0296948,0.6960346,0.08140813,2025-01-24 14:24:44.974,0,0
0.03217917,0.6961704,0.0735368,2025-01-24 14:24:44.988,0,0
0.02824777,0.6971037,0.07441664,2025-01-24 14:24:45.002,0,0
0.02238036,0.6989644,0.07935797,2025-01-24 14:24:45.017,0,0
0.02114211,0.6986539,0.07987508,2025-01-24 14:24:45.030,0,0
0.01425837,0.7019234,0.08316784,2025-01-24 14:24:45.046,0,0
0.01135352,0.7038362,0.08475021,2025-01-24 14:24:45.061,0,0
0.00723213,0.7050434,0.08633593,2025-01-24 14:24:45.075,0,0
0.00396378,0.7062311,0.08747643,2025-01-24 14:24:45.090,0,0
0.003021605,0.7065272,0.08761583,2025-01-24 14:24:45.104,0,0
-1.948699E-05,0.7076929,0.08924863,2025-01-24 14:24:45.119,0,0
-0.002574746,0.7101215,0.09410366,2025-01-24 14:24:45.132,0,0
-0.005365174,0.7111687,0.09555981,2025-01-24 14:24:45.147,0,0
-0.005297296,0.7134666,0.09548744,2025-01-24 14:24:45.161,0,0
-0.005884822,0.7152897,0.09485108,2025-01-24 14:24:45.175,0,0
-0.004801925,0.717031,0.09374642,2025-01-24 14:24:45.189,0,0
-0.004552633,0.7183303,0.09297553,2025-01-24 14:24:45.203,0,0
-0.003073186,0.7192249,0.09272501,2025-01-24 14:24:45.217,0,0
-0.002822254,0.7200919,0.09329799,2025-01-24 14:24:45.231,0,0
-0.0007639788,0.7212132,0.09345512,2025-01-24 14:24:45.245,0,0
0.001733575,0.721952,0.09134559,2025-01-24 14:24:45.259,0,0
0.003705282,0.7229521,0.08928196,2025-01-24 14:24:45.272,0,0
0.006643012,0.7236968,0.08670348,2025-01-24 14:24:45.287,0,0
0.01057129,0.7230576,0.08666575,2025-01-24 14:24:45.301,0,0
0.01406866,0.7228193,0.0867868,2025-01-24 14:24:45.314,0,0
0.01646916,0.7232354,0.08759263,2025-01-24 14:24:45.329,0,0
0.0154008,0.7227841,0.09000307,2025-01-24 14:24:45.342,0,0
0.01633247,0.7224284,0.0902448,2025-01-24 14:24:45.357,0,0
0.01704031,0.7222157,0.09138019,2025-01-24 14:24:45.370,0,0
0.01537235,0.7220095,0.09234525,2025-01-24 14:24:45.384,0,0
0.01505106,0.7218565,0.09288037,2025-01-24 14:24:45.398,0,0
0.01349712,0.7217774,0.09058632,2025-01-24 14:24:45.412,0,0
0.01264095,0.7220732,0.08849616,2025-01-24 14:24:45.426,0,0
0.0110226,0.7223588,0.08475274,2025-01-24 14:24:45.440,0,0
0.009855725,0.7223293,0.08287019,2025-01-24 14:24:45.453,0,0
0.008507356,0.7226979,0.08063856,2025-01-24 14:24:45.467,0,0
0.006142434,0.7229061,0.07831533,2025-01-24 14:24:45.481,0,0
0.00427622,0.7233724,0.07544327,2025-01-24 14:24:45.496,0,0
0.002365787,0.7238153,0.07300517,2025-01-24 14:24:45.509,0,0
